Song ID,Token ID,Term Frequency,Inverse Document Frequency,TF-IDF
7,9,1,2.70805020110221,2.70805020110221
7,merchant,1,2.70805020110221,2.70805020110221
7,dumbartons,1,2.70805020110221,2.70805020110221
9,ripped,2,2.70805020110221,5.41610040220442
9,necklace,1,2.70805020110221,2.70805020110221
10,round,1,2.70805020110221,2.70805020110221
14,sore,1,2.70805020110221,2.70805020110221
1,fade,1,2.70805020110221,2.70805020110221
1,see,1,0.9162907318741551,0.9162907318741551
2,see,3,0.9162907318741551,2.7488721956224653
6,see,10,0.9162907318741551,9.162907318741551
7,see,1,0.9162907318741551,0.9162907318741551
8,see,1,0.9162907318741551,0.9162907318741551
15,see,2,0.9162907318741551,1.8325814637483102
1,fantasy,1,2.70805020110221,2.70805020110221
1,me,2,0.06899287148695142,0.13798574297390284
2,me,4,0.06899287148695142,0.2759714859478057
3,me,3,0.06899287148695142,0.20697861446085425
4,me,3,0.06899287148695142,0.20697861446085425
5,me,7,0.06899287148695142,0.48295010040865993
6,me,8,0.06899287148695142,0.5519429718956114
7,me,19,0.06899287148695142,1.310864558252077
8,me,9,0.06899287148695142,0.6209358433825628
9,me,16,0.06899287148695142,1.1038859437912227
10,me,4,0.06899287148695142,0.2759714859478057
11,me,4,0.06899287148695142,0.2759714859478057
13,me,18,0.06899287148695142,1.2418716867651256
14,me,4,0.06899287148695142,0.2759714859478057
15,me,36,0.06899287148695142,2.483743373530251
1,met,1,1.6094379124341003,1.6094379124341003
6,met,1,1.6094379124341003,1.6094379124341003
12,met,1,1.6094379124341003,1.6094379124341003
1,eternal,1,2.70805020110221,2.70805020110221
1,alive,1,1.0986122886681098,1.0986122886681098
5,alive,4,1.0986122886681098,4.394449154672439
7,alive,1,1.0986122886681098,1.0986122886681098
9,alive,1,1.0986122886681098,1.0986122886681098
15,alive,1,1.0986122886681098,1.0986122886681098
1,on,1,0.31015492830383945,0.31015492830383945
2,on,2,0.31015492830383945,0.6203098566076789
4,on,5,0.31015492830383945,1.5507746415191972
5,on,1,0.31015492830383945,0.31015492830383945
6,on,8,0.31015492830383945,2.4812394264307156
7,on,17,0.31015492830383945,5.272633781165271
9,on,1,0.31015492830383945,0.31015492830383945
10,on,1,0.31015492830383945,0.31015492830383945
11,on,2,0.31015492830383945,0.6203098566076789
12,on,5,0.31015492830383945,1.5507746415191972
13,on,3,0.31015492830383945,0.9304647849115184
3,such,1,2.70805020110221,2.70805020110221
3,dont,3,0.6286086594223741,1.8858259782671223
5,dont,1,0.6286086594223741,0.6286086594223741
6,dont,10,0.6286086594223741,6.286086594223741
7,dont,7,0.6286086594223741,4.400260615956618
8,dont,1,0.6286086594223741,0.6286086594223741
12,dont,3,0.6286086594223741,1.8858259782671223
13,dont,8,0.6286086594223741,5.028869275378993
14,dont,2,0.6286086594223741,1.2572173188447482
3,nothing,1,1.3217558399823195,1.3217558399823195
4,nothing,2,1.3217558399823195,2.643511679964639
5,nothing,1,1.3217558399823195,1.3217558399823195
11,nothing,5,1.3217558399823195,6.608779199911598
4,should,2,1.3217558399823195,2.643511679964639
9,should,1,1.3217558399823195,1.3217558399823195
12,should,3,1.3217558399823195,3.9652675199469583
14,should,2,1.3217558399823195,2.643511679964639
5,watched,2,2.70805020110221,5.41610040220442
5,dead,1,2.0149030205422647,2.0149030205422647
7,dead,2,2.0149030205422647,4.029806041084529
6,daddy,10,2.70805020110221,27.0805020110221
6,destiny,1,2.70805020110221,2.70805020110221
6,hold,2,0.9162907318741551,1.8325814637483102
7,hold,2,0.9162907318741551,1.8325814637483102
9,hold,2,0.9162907318741551,1.8325814637483102
12,hold,1,0.9162907318741551,0.9162907318741551
13,hold,3,0.9162907318741551,2.7488721956224653
15,hold,12,0.9162907318741551,10.995488782489861
6,food,1,2.70805020110221,2.70805020110221
6,sisters,1,2.70805020110221,2.70805020110221
7,come,2,1.6094379124341003,3.2188758248682006
9,come,6,1.6094379124341003,9.656627474604601
13,come,7,1.6094379124341003,11.266065387038703
7,respect,1,2.70805020110221,2.70805020110221
7,place,3,2.0149030205422647,6.0447090616267936
14,place,5,2.0149030205422647,10.074515102711324
7,saw,1,2.70805020110221,2.70805020110221
7,front,2,2.0149030205422647,4.029806041084529
8,front,1,2.0149030205422647,2.0149030205422647
7,everyones,1,2.70805020110221,2.70805020110221
7,mersey,1,2.70805020110221,2.70805020110221
7,acid,1,2.70805020110221,2.70805020110221
7,black,1,2.70805020110221,2.70805020110221
7,next,1,2.0149030205422647,2.0149030205422647
9,next,1,2.0149030205422647,2.0149030205422647
7,fifty,1,2.70805020110221,2.70805020110221
7,lets,2,2.0149030205422647,4.029806041084529
13,lets,2,2.0149030205422647,4.029806041084529
7,towel,1,2.70805020110221,2.70805020110221
7,torn,1,2.70805020110221,2.70805020110221
7,misunderstood,1,2.70805020110221,2.70805020110221
7,feeling,1,2.0149030205422647,2.0149030205422647
8,feeling,1,2.0149030205422647,2.0149030205422647
7,henley,1,2.70805020110221,2.70805020110221
7,gower,1,2.70805020110221,2.70805020110221
7,pink,1,2.70805020110221,2.70805020110221
7,peterson,1,2.70805020110221,2.70805020110221
7,keaton,1,2.70805020110221,2.70805020110221
7,second,1,2.0149030205422647,2.0149030205422647
8,second,1,2.0149030205422647,2.0149030205422647
7,key,1,2.70805020110221,2.70805020110221
8,waste,1,2.70805020110221,2.70805020110221
9,makes,1,2.0149030205422647,2.0149030205422647
14,makes,1,2.0149030205422647,2.0149030205422647
9,forever,2,2.0149030205422647,4.029806041084529
12,forever,1,2.0149030205422647,2.0149030205422647
2,when,2,0.4054651081081644,0.8109302162163288
3,when,4,0.4054651081081644,1.6218604324326575
4,when,4,0.4054651081081644,1.6218604324326575
6,when,10,0.4054651081081644,4.054651081081644
7,when,3,0.4054651081081644,1.2163953243244932
9,when,4,0.4054651081081644,1.6218604324326575
10,when,9,0.4054651081081644,3.6491859729734797
11,when,1,0.4054651081081644,0.4054651081081644
12,when,1,0.4054651081081644,0.4054651081081644
15,when,31,0.4054651081081644,12.569418351353097
2,hanging,1,2.70805020110221,2.70805020110221
3,like,1,0.9162907318741551,0.9162907318741551
6,like,6,0.9162907318741551,5.497744391244931
7,like,5,0.9162907318741551,4.5814536593707755
8,like,7,0.9162907318741551,6.414035123119086
11,like,5,0.9162907318741551,4.5814536593707755
14,like,8,0.9162907318741551,7.330325854993241
4,shout,3,2.70805020110221,8.12415060330663
4,open,2,2.70805020110221,5.41610040220442
5,holding,4,1.6094379124341003,6.437751649736401
8,holding,1,1.6094379124341003,1.6094379124341003
9,holding,2,1.6094379124341003,3.2188758248682006
5,let,1,0.6286086594223741,0.6286086594223741
7,let,4,0.6286086594223741,2.5144346376894964
9,let,2,0.6286086594223741,1.2572173188447482
10,let,1,0.6286086594223741,0.6286086594223741
11,let,4,0.6286086594223741,2.5144346376894964
12,let,3,0.6286086594223741,1.8858259782671223
14,let,2,0.6286086594223741,1.2572173188447482
15,let,3,0.6286086594223741,1.8858259782671223
6,maybe,1,1.6094379124341003,1.6094379124341003
7,maybe,1,1.6094379124341003,1.6094379124341003
15,maybe,5,1.6094379124341003,8.047189562170502
6,pretty,3,2.0149030205422647,6.0447090616267936
7,pretty,1,2.0149030205422647,2.0149030205422647
6,wrapped,1,2.70805020110221,2.70805020110221
6,start,1,2.0149030205422647,2.0149030205422647
12,start,1,2.0149030205422647,2.0149030205422647
6,seemed,1,2.70805020110221,2.70805020110221
6,chalmers,1,2.70805020110221,2.70805020110221
6,birdies,1,2.70805020110221,2.70805020110221
7,63,1,2.70805020110221,2.70805020110221
7,live,2,2.70805020110221,5.41610040220442
7,broad,1,2.70805020110221,2.70805020110221
7,wolfman,5,2.70805020110221,13.54025100551105
7,three,1,2.70805020110221,2.70805020110221
7,queen,1,2.70805020110221,2.70805020110221
7,limousine,1,2.70805020110221,2.70805020110221
7,kind,1,2.70805020110221,2.70805020110221
7,gun,1,2.70805020110221,2.70805020110221
7,lungs,1,2.70805020110221,2.70805020110221
7,cadillac,1,2.70805020110221,2.70805020110221
7,owner,1,2.70805020110221,2.70805020110221
7,avenue,1,2.70805020110221,2.70805020110221
7,explode,1,2.70805020110221,2.70805020110221
7,master,1,2.70805020110221,2.70805020110221
